LICENSE NUMBER,BUSINESS NAME,LICENSE TYPE,LICENSE EXPIRATION DATE,LICENSE STATUS,PIN,WARD,DISTRICT COUNCIL,ADDRESS,Location,COUNT
20100004245,SPEEDWAY #4038,Malt Off Sale,12/01/2019,Active,292922220175,5,5,390 MARYLAND AVE E  ST PAUL MN 55101-1401,"(44.9772330780364, -93.084157588869)",1
19990006428,SHAMROCK PLAZA LIQUOR,Liquor Off Sale,01/01/2020,Active,112822110086,7,1,289 MCKNIGHT ROAD S  ST PAUL MN 55119,"(44.9321445055394, -93.005255107612)",1
20100004264,SPEEDWAY #4601,Malt Off Sale,12/01/2019,Active,312922440035,2,17,296 7TH ST E  ST PAUL MN 55101-2301,"(44.9515476065952, -93.086866550079)",1
20070003867,TREND BAR,Liquor On Sale - 100 seats or less,12/21/2019,Active,342923230126,4,11,1537 UNIVERSITY AVE W  ST PAUL MN 55104-3905,"(44.9560136690661, -93.165585760583)",1
20160002604,REVIVAL,Liquor On Sale - 100 seats or less,12/22/2019,Active,012823220271,1,8,525 SELBY AVE  ST PAUL MN 55102,"(44.9466810290997, -93.122369585527)",1
20030001053,MOUNDS THEATRE CO,Liquor On Sale - Theater,01/01/2020,Active,332922310097,7,4,1029 HUDSON ROAD  ST PAUL MN 55106-6106,"(44.9523440404403, -93.056900400634)",1
20100004235,SPEEDWAY #4020,Malt Off Sale,12/01/2019,Active,342923410012,1,13,399 LEXINGTON PKWY N  ST PAUL MN 55104-4634,"(44.9532463417585, -93.147387268111)",1
20160000962,LA COSTA MEXICAN SPORTS BAR & GRILL,Liquor On Sale - 100 seats or less,03/02/2019,Active Pending Ren,082822240041,2,3,194 CESAR CHAVEZ ST  ST PAUL MN 55107-2310,"(44.9294577523047, -93.077244071827)",1
0033570,JOE AND STAN'S,Liquor On Sale - 100 seats or less,12/22/2019,Active,112823140132,2,9,949 7TH ST W  ST PAUL MN 55102-3501,"(44.9279742772473, -93.126553074505)",1
0016320,W A FROST AND COMPANY,Liquor On Sale - 181-290 Seats,11/22/2019,Active,012823120153,1,8,374 SELBY AVE  ST PAUL MN 55102-1825,"(44.9462054178515, -93.115703193538)",1
20100005167,LOS OCAMPO MEXICAN RESTAURANT,Liquor On Sale - 101-180 Seats,01/01/2020,Active,342922440009,7,1,1751 SUBURBAN AVE  ST PAUL MN 55106-6620,"(44.9502486155575, -93.026175945331)",1
0015999,DUBLINER PUB,Liquor On Sale - 101-180 Seats,03/31/2019,Active Pending Ren,322923110029,4,12,2162 UNIVERSITY AVE W  ST PAUL MN 55114-1820,"(44.9605295634403, -93.189601492849)",1
0015773,MANCINI'S CHAR HOUSE,Malt Off Sale,01/31/2020,Active,012823430248,2,9,531 7TH ST W  ST PAUL MN 55102-3641,"(44.9367977613927, -93.113644950078)",1
