School,School_Num,Grade,Total_Tested,Proficiency,White%,White_Proficiency%,Asian%,Asian_Proficiency%,Black%,Black_Proficiency%,ELL%,SPED%,FRPL%,FRPL_Proficiency%,NonFRPL%,NonFRPL_Proficiency%,Ranking,Address,Latitude,Longitude,Subject,City
Nokomis Montessori South Campus,1602.0,12.0,115.0,38.26,23.0,11.54,43.0,34.0,13.0,0.0,32.0,17.0,55.0,26.98,55.0,51.92,3,"525 White Bear Ave, St Paul, MN 55106",44.9573338,-93.025938,Reading,Saint Paul
Obama Service Learning Elementary,1734.0,12.0,133.0,16.54,4.0,0.0,8.0,0.0,73.0,15.46,14.0,20.0,88.0,17.09,88.0,0.0,1,"707 Holly Ave, St Paul, MN 55104",44.9436026,-93.1300544,Reading,Saint Paul
Open World Learning Secondary,750.0,21.0,200.0,64.0,54.0,76.85,12.0,30.43,10.0,10.53,6.0,14.0,31.0,37.1,31.0,76.09,4,"640 Humboldt Ave, St Paul, MN 55107",44.9266188,-93.0844681,Reading,Saint Paul
Parkway Montessori/Community Middle,1032.0,21.0,423.0,29.55,14.0,51.72,45.0,31.75,22.0,14.74,24.0,21.0,76.0,27.24,76.0,37.0,1,"1363 Bush Ave, St Paul, MN 55106",44.9654834,-93.0428322,Reading,Saint Paul
Paul & Sheila Wellstone Elementary,1656.0,12.0,261.0,26.05,4.0,0.0,18.0,28.26,20.0,17.31,54.0,18.0,85.0,20.81,85.0,55.0,1,"1041 Marion St, St Paul, MN 55117",44.9728563,-93.1104994,Reading,Saint Paul
Phalen Lake Hmong Studies Magnet,1623.0,12.0,287.0,32.75,1.0,0.0,86.0,31.05,3.0,0.0,66.0,7.0,83.0,31.65,83.0,38.0,2,"1089 N Cypress St, St Paul, MN 55106",44.9738608,-93.0593449,Reading,Saint Paul
Ramsey Middle School,1035.0,21.0,531.0,38.79,25.0,74.81,15.0,37.66,44.0,16.81,10.0,12.0,63.0,22.55,63.0,67.01,3,"1700 Summit Ave, St Paul, MN 55105",44.940839700000005,-93.1722396,Reading,Saint Paul
Randolph Heights Elementary,1635.0,12.0,214.0,76.64,64.0,83.94,7.0,0.0,13.0,22.22,9.0,6.0,32.0,54.41,32.0,86.99,4,"348 Hamline Ave S, St Paul, MN 55105",44.9310863,-93.1559271,Reading,Saint Paul
Riverview West School Of Excellence,1653.0,12.0,169.0,18.93,6.0,0.0,4.0,0.0,22.0,26.32,46.0,11.0,75.0,18.11,75.0,21.43,1,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.0767957,Reading,Saint Paul
Saint Paul Music Academy,1674.0,12.0,308.0,31.82,5.0,0.0,55.0,32.35,22.0,29.41,54.0,19.0,90.0,29.6,90.0,38.71,2,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936,Reading,Saint Paul
St. Anthony Park Elementary,1671.0,12.0,239.0,67.36,60.0,81.25,10.0,0.0,12.0,13.79,14.0,14.0,26.0,37.1,26.0,77.97,4,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562,Reading,Saint Paul
The Heights Community School,1464.0,12.0,218.0,23.85,9.0,0.0,36.0,32.91,28.0,9.68,35.0,14.0,70.0,20.39,70.0,31.82,1,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.0209262,Reading,Saint Paul
Washington Tech Secondary Magnet,756.0,21.0,961.0,28.1,5.0,46.94,51.0,31.1,27.0,21.97,38.0,14.0,88.0,25.92,88.0,43.33,1,"1495 Rice St, St Paul, MN 55117",44.987036700000004,-93.1113717,Reading,Saint Paul
Adams Magnet Elementary,410.0,5.0,97.0,34.02,25.0,58.33,0.0,0.0,15.0,20.0,14.0,9.0,48.0,10.64,48.0,56.0,3,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046,Science,Saint Paul
Battle Creek Elementary School,422.0,5.0,65.0,41.54,8.0,0.0,35.0,34.78,29.0,31.58,18.0,17.0,69.0,40.0,69.0,45.0,4,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965,Science,Saint Paul
Benjamin E Mays Magnet,424.0,5.0,65.0,9.23,0.0,0.0,11.0,0.0,68.0,6.82,12.0,17.0,82.0,5.66,82.0,25.0,1,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Science,Saint Paul
