ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION,District Council - Map,Council Ward,:@computed_region_crxq_iug7,:@computed_region_5wjj_5at9
991 FARRINGTON ST,01/24/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9712550595629, -93.113795704676)",3,3,157,69
784 AGATE ST APT 3,01/24/2019 12:00:00 AM,Multi-family Residential,1,5,6,31400,"(44.9649113704323, -93.093630499561)",3,3,179,62
1044 MINNEHAHA AVE W,01/24/2019 12:00:00 AM,Single Family Residential,1,1,7,32400,"(44.9628247773926, -93.144409975113)",10,7,55,56
1803 MARGARET ST,01/23/2019 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.9614746612757, -93.024132620861)",16,2,145,43
1784 MONTANA AVE E,01/18/2019 12:00:00 AM,Commercial,1,6,2,30702,"(44.9873404513404, -93.024785280614)",14,1,148,80
779 CARROLL AVE,01/11/2019 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.9504592493101, -93.133036469857)",9,7,66,40
421 7TH ST E,01/11/2019 12:00:00 AM,Commercial,1,2,4,33000,"(44.9536528923598, -93.083213239044)",15,5,177,50
1637 ARLINGTON AVE E,01/09/2019 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.9848973447649, -93.031350073489)",14,1,136,82
781 7TH ST E,01/09/2019 12:00:00 AM,Commercial,1,7,4,33100,"(44.9609375066703, -93.068648006727)",15,2,188,52
1094 ROSS AVE,01/04/2019 12:00:00 AM,Duplex,2,6,4,31701,"(44.9656853957803, -93.054358756323)",15,1,128,58
675 HAWTHORNE AVE E,01/04/2019 12:00:00 AM,Duplex,1,6,5,31000,"(44.9784925313411, -93.071993471245)",13,1,165,70
455 GRAND AVE,01/04/2019 12:00:00 AM,Single Family Residential,1,2,16,35800,"(44.9392283715448, -93.119332974124)",8,5,88,27
140 JENKS AVE,01/04/2019 12:00:00 AM,Single Family Residential,1,5,6,31400,"(44.9709514940659, -93.094716717059)",3,3,180,62
1029 SCHEFFER AVE,01/02/2019 12:00:00 AM,Single Family Residential,1,2,9,36700,"(44.9216343542223, -93.143813525535)",11,5,59,6
1826 ROBLYN AVE,12/28/2018 12:00:00 AM,Single Family Residential,1,4,13,33300,"(44.9514138804041, -93.177562768993)",17,4,7,34
1194 ALBEMARLE ST,12/26/2018 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9771311954648, -93.106983228102)",3,3,157,69
1117 JENKS AVE,12/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9713993924111, -93.053447135661)",13,1,129,65
947 MINNEHAHA AVE E,12/18/2018 12:00:00 AM,Multi-family Residential,1,7,4,31701,"(44.9631888239755, -93.060556291004)",15,2,195,58
