Block,For_Address,Latitude,Longitude
112x 7 st w,"1120 7th St W, St Paul, MN 55102, USA",44.9245727,-93.13103869999999
112x blair av,"1120 Blair Ave, St Paul, MN 55104, USA",44.9609846,-93.1476288
112x central av w,"1120 Central Ave W, St Paul, MN 55104, USA",44.9528019,-93.1475277
112x concordia av,"1120 Concordia Ave, St Paul, MN 55104, USA",44.9512124,-93.14814539999999
112x edmund av,"1120 Edmund Ave W, St Paul, MN 55104, USA",44.958249,-93.14754669999999
112x lafond av,"1120 Lafond Ave, St Paul, MN 55104, USA",44.9600613,-93.1477053
112x minnehaha av w,"1120 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628159,-93.147556
112x sherburne av,"1120 Sherburne Ave, St Paul, MN 55104, USA",44.9564525,-93.147577
112x thomas av,"1120 Thomas Ave W, St Paul, MN 55104, USA",44.9591674,-93.14768579999999
112x university av w,"1120 University Ave W, St Paul, MN 55104, USA",44.955469,-93.1471262
113x central av w,"1130 Central Ave W, St Paul, MN 55104, USA",44.9528245,-93.1479102
113x charles av,"1130 Charles Ave, St Paul, MN 55104, USA",44.9573409,-93.14793689999999
113x concordia av,"1130 Concordia Ave, St Paul, MN 55104, USA",44.9512124,-93.14814240000001
113x edmund av,"1130 Edmund Ave W, St Paul, MN 55104, USA",44.958251,-93.1479583
113x lafond av,"1130 Lafond Ave, St Paul, MN 55104, USA",44.9600526,-93.1480189
113x minnehaha av w,"1130 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628084,-93.1478305
113x sherburne av,"1130 Sherburne Ave, St Paul, MN 55104, USA",44.9564663,-93.1479494
113x thomas av,"1130 Thomas Ave W, St Paul, MN 55104, USA",44.9591678,-93.1480366
113x university av w,"1130 University Ave W, St Paul, MN 55104, USA",44.95543869999999,-93.1480737
114x blair av,"1140 Blair Ave, St Paul, MN 55104, USA",44.96098079999999,-93.14841489999999
114x charles av,"1140 Charles Ave, St Paul, MN 55104, USA",44.9573532,-93.14834169999999
114x edmund av,"1140 Edmund Ave W, St Paul, MN 55104, USA",44.9582482,-93.1483485
114x lafond av,"1140 Lafond Ave, St Paul, MN 55104, USA",44.960044,-93.1483325
114x larpenteur av w,"1140 Larpenteur Ave W, St Paul, MN 55113, USA",44.9916631,-93.14820750000001
114x sherburne av,"1140 Sherburne Ave, St Paul, MN 55104, USA",44.9564536,-93.14832179999999
114x thomas av,"1140 Thomas Ave W, St Paul, MN 55104, USA",44.9591684,-93.148461
114x university av w,"1140 University Ave W, St Paul, MN 55104, USA",44.9554363,-93.1487851
114x vanburen av,"1140 Van Buren Ave, St Paul, MN 55104, USA",44.9618568,-93.1483966
115x blair av,"1150 Blair Ave, St Paul, MN 55104, USA",44.9609643,-93.14864999999999
115x burr st,"1150 Burr St N, St Paul, MN 55130, USA",44.9759624,-93.0794993
115x central av w,"1150 Central Ave W, St Paul, MN 55104, USA",44.9528217,-93.14867459999999
115x edmund av,"1150 Edmund Ave W, St Paul, MN 55104, USA",44.9582306,-93.1487032
115x lafond av,"1150 Lafond Ave, St Paul, MN 55104, USA",44.9600587,-93.1487463
115x marshall av,"1150 Marshall Ave, St Paul, MN 55104, USA",44.9483217,-93.1486942
115x minnehaha av w,"1150 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627858,-93.14871269999999
115x sherburne av,"1150 Sherburne Ave, St Paul, MN 55104, USA",44.9564458,-93.1486942
115x thomas av,"1150 Thomas Ave W, St Paul, MN 55104, USA",44.9591687,-93.1487418
115x university av w,"1150 University Ave W, St Paul, MN 55104, USA",44.95562899999999,-93.1491013
115x vanburen av,"1150 Van Buren Ave, St Paul, MN 55104, USA",44.9618712,-93.1487892
115x wynne av,"1150 Wynne Ave, St Paul, MN 55108, USA",44.9754318,-93.1489083
116x blair av,"1160 Blair Ave, St Paul, MN 55104, USA",44.9611787,-93.1492153
116x charles av,"1160 Charles Ave, St Paul, MN 55104, USA",44.9573374,-93.14939129999999
116x edmund av,"1160 Edmund Ave W, St Paul, MN 55104, USA",44.9584589,-93.1492207
116x sherburne av,"1160 Sherburne Ave, St Paul, MN 55104, USA",44.9564452,-93.1493802
116x thomas av,"1160 Thomas Ave W, St Paul, MN 55104, USA",44.9593672,-93.14921199999999
116x university av w,"1160 University Ave W, St Paul, MN 55104, USA",44.9556354,-93.1493677
116x vanburen av,"1160 Van Buren Ave, St Paul, MN 55104, USA",44.96189140000001,-93.1493813
117x beech st,"1170 Beech St, St Paul, MN 55106, USA",44.961923,-93.051276
117x blair av,"1170 Blair Ave, St Paul, MN 55104, USA",44.9609538,-93.14969099999999
117x charles av,"1170 Charles Ave, St Paul, MN 55104, USA",44.9573287,-93.14970489999999
117x clarence st,"1170 Clarence St, St Paul, MN 55106, USA",44.976985,-93.0431121
117x edmund av,"1170 Edmund Ave W, St Paul, MN 55104, USA",44.9582504,-93.1497395
117x lafond av,"1170 Lafond Ave, St Paul, MN 55104, USA",44.9600613,-93.1496911
117x marshall av,"1170 Marshall Ave, St Paul, MN 55104, USA",44.94826519999999,-93.14972639999999
117x minnehaha av w,"1170 W Minnehaha Ave, St Paul, MN 55104, USA",44.962794,-93.1496772
117x sherburne av,"1170 Sherburne Ave, St Paul, MN 55104, USA",44.9564906,-93.1497134
117x thomas av,"1170 Thomas Ave W, St Paul, MN 55104, USA",44.9591708,-93.14975109999999
117x vanburen av,"1170 Van Buren Ave, St Paul, MN 55104, USA",44.96185000000001,-93.14977119999999
118x blair av,"1180 Blair Ave, St Paul, MN 55104, USA",44.9609746,-93.1500745
118x carroll av,"1180 Carroll Ave, St Paul, MN 55104, USA",44.9502682,-93.15187979999999
118x charles av,"1180 Charles Ave, St Paul, MN 55104, USA",44.9573532,-93.1501401
118x concordia av,"1180 Concordia Ave, St Paul, MN 55104, USA",44.9511817,-93.14954619999999
118x edmund av,"1180 Edmund Ave W, St Paul, MN 55104, USA",44.9582503,-93.15010319999999
118x lafond av,"1180 Lafond Ave, St Paul, MN 55104, USA",44.96003899999999,-93.15007410000001
118x minnehaha av w,"1180 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627822,-93.1501085
118x sherburne av,"1180 Sherburne Ave, St Paul, MN 55104, USA",44.9564562,-93.15006629999999
118x thomas av,"1180 Thomas Ave W, St Paul, MN 55104, USA",44.9591703,-93.1500813
118x university av w,"1180 University Ave W, St Paul, MN 55104, USA",44.9556499,-93.14997819999999
119x blair av,"1190 Blair Ave, St Paul, MN 55104, USA",44.960951,-93.15045750000002
119x charles av,"1190 Charles Ave, St Paul, MN 55104, USA",44.9573445,-93.1504538
119x concordia av,"1190 Concordia Ave, St Paul, MN 55104, USA",44.95107549999999,-93.1497146
119x edgcumbe rd,"1190 Edgcumbe Rd, St Paul, MN 55105, USA",44.9304459,-93.14976790000001
119x edmund av,"1190 Edmund Ave W, St Paul, MN 55104, USA",44.9582557,-93.1504361
119x hewitt av,"1190 Hewitt Ave, St Paul, MN 55104, USA",44.9663791,-93.1504063
119x lafond av,"1190 Lafond Ave, St Paul, MN 55104, USA",44.9600584,-93.1504576
119x sherburne av,"1190 Sherburne Ave, St Paul, MN 55104, USA",44.9564878,-93.15047779999999
119x thomas av,"1190 Thomas Ave W, St Paul, MN 55104, USA",44.9591296,-93.15045359999999
119x university av w,"1190 University Ave W, St Paul, MN 55104, USA",44.9549953,-93.15043860000002
