Date,City Code,City Name,Ward Code,Ward Name,Precinct Code,Precinct Name,Congressional District,State Senate District,State House District,County Commissioner District,Judicial District,Soil and Water Conservation District,Hospital District,Voter Count,Location
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1380,ST. PAUL W-6 P-10,4,67,67A,06,02,,,1018,"(44.98829121, -93.03024885)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1330,ST. PAUL W-6 P-05,4,67,67A,06,02,,,2204,"(44.97112269, -93.05301931)"
02/01/2019 12:00:00 AM,110,North St. Paul,,,0410,NORTH ST. PAUL P-3,4,43,43B,07,02,,,1823,"(45.00241075, -92.99705695)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0570,ST. PAUL W-1 P-04,4,65,65A,03,02,,,1391,"(44.95753652, -93.1364746)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1360,ST. PAUL W-6 P-08,4,67,67A,06,02,,,1620,"(44.97454234, -93.03606245)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1120,ST. PAUL W-4 P-13,4,66,66B,03,02,,,1642,"(44.96592965, -93.15770817)"
02/01/2019 12:00:00 AM,120,Roseville,,,0470,ROSEVILLE P-05,4,66,66A,02,02,,,2604,"(45.0091976, -93.18893147)"
02/01/2019 12:00:00 AM,190,White Bear Lake,01,W-01,1740,WHITE BEAR LAKE W-1 P-1,4,38,38B,07,02,,,2869,"(45.080567, -93.023119)"
02/01/2019 12:00:00 AM,120,Roseville,,,0430,ROSEVILLE P-01,4,66,66A,02,02,,,2302,"(45.02834867, -93.18745002)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1510,ST. PAUL W-7 P-09,4,67,67B,06,02,,,1564,"(44.96587, -93.01464658)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0740,ST. PAUL W-2 P-07,4,65,65B,05,02,,,2253,"(44.93630023, -93.10781478)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0180,MAPLEWOOD P-06,4,43,43A,07,02,,,1730,"(45.01627926, -93.04074427)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1210,ST. PAUL W-5 P-06,4,65,65A,03,02,,,1872,"(44.97378683, -93.11615762)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0720,ST. PAUL W-2 P-05,4,65,65B,05,02,,,2397,"(44.93110667, -93.12681418)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0590,ST. PAUL W-1 P-06,4,65,65A,04,02,,,2770,"(44.94829766, -93.13644677)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0160,MAPLEWOOD P-04,4,43,43B,07,02,,,1753,"(44.99710856, -93.0236624)"
02/01/2019 12:00:00 AM,170,Vadnais Heights,,,1690,VADNAIS HEIGHTS P-4,4,42,42B,01,02,,,2273,"(45.04354854, -93.05698627)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0560,ST. PAUL W-1 P-03,4,65,65A,03,02,,,1881,"(44.96288405, -93.13682537)"
03/12/2018 12:00:00 AM,,,,,30,ARDEN HILLS P-3,,,,,,,,2028,
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1050,ST. PAUL W-4 P-06,4,64,64A,04,02,,,1947,"(44.94385119, -93.19504469)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1250,ST. PAUL W-5 P-10,4,67,67B,05,02,,,650,"(44.9631698, -93.08273582)"
02/01/2019 12:00:00 AM,190,White Bear Lake,05,W-05,1780,WHITE BEAR LAKE W-5 P-1,4,43,43A,07,02,,,3201,"(45.04681756, -93.01943733)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1340,ST. PAUL W-6 P-06,4,67,67A,06,02,,,2549,"(44.9718061, -93.0679685)"
02/01/2019 12:00:00 AM,030,Falcon Heights,,,0070,FALCON HEIGHTS P-2,4,66,66A,03,02,,,1692,"(44.99361246, -93.16162357)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0770,ST. PAUL W-2 P-10,4,67,67B,05,02,,,87,"(44.96037893, -93.08772901)"
02/01/2019 12:00:00 AM,170,Vadnais Heights,,,1660,VADNAIS HEIGHTS P-1,4,42,42B,01,02,,,1663,"(45.06983656, -93.09378812)"
