IndexKey,Coordinates,OutputKey
minnehaha_milton,"44.963004, -93.139146",milton_minnehaha
lafond_milton,"44.960266, -93.139028",milton_lafond
thomas_milton,"44.959361, -93.139031",milton_thomas
edmund_milton,"44.958450, -93.139026",milton_edmund
charles_milton,"44.957543, -93.139026",milton_charles
sherburne_milton,"44.956645, -93.139025",milton_sherburne
university_milton,"44.955831, -93.139018",milton_university
piercebutler_victoria,"44.964735, -93.136493",victoria_piercebutler
englewood_victoria,"44.963890, -93.136498",victoria_englewood
minnehaha_victoria,"44.962988, -93.136503",victoria_minnehaha
vanburen_victoria,"44.962078, -93.136498",victoria_vanburen
blair_victoria,"44.961174, -93.136490",victoria_blair
lafond_victoria,"44.960275, -93.136490",victoria_lafond
thomas_victoria,"44.959355, -93.136492",victoria_thomas
edmund_victoria,"44.958449, -93.136487",victoria_edmund
charles_victoria,"44.957542, -93.136495",victoria_charles
sherburne_victoria,"44.956632, -93.136486",victoria_sherburne
university_victoria,"44.955825, -93.136478",victoria_university
piercebutler_avon,"44.964723, -93.133974",avon_piercebutler
englewood_avon,"44.963888, -93.133975",avon_englewood
minnehaha_avon,"44.962981, -93.133966",avon_minnehaha
vanburen_avon,"44.962087, -93.133971",avon_vanburen
blair_avon,"44.961176, -93.133970",avon_blair
lafond_avon,"44.960263, -93.133969",avon_lafond
thomas_avon,"44.959357, -93.133967",avon_thomas
edmund_avon,"44.958443, -93.133968",avon_edmund
charles_avon,"44.957532, -93.133967",avon_charles
sherburne_avon,"44.956632, -93.133946",avon_sherburne
university_avon,"44.955826, -93.133951",avon_university
piercebutler_grotto,"44.964722, -93.131433",grotto_piercebutler
englewood_grotto,"44.963878, -93.131431",grotto_englewood
minnehaha_grotto,"44.962975, -93.131446",grotto_minnehaha
vanburen_grotto,"44.962068, -93.131437",grotto_vanburen
blair_grotto,"44.961170, -93.131442",grotto_blair
