index,Block,Address,Latitude,Longitude
206,112x central av w,"1120 Central Ave W, St Paul, MN 55104, USA",44.9528019,-93.1475277
207,112x concordia av,"1120 Concordia Ave, St Paul, MN 55104, USA",44.9512124,-93.1481454
208,112x edmund av,"1120 Edmund Ave W, St Paul, MN 55104, USA",44.958249,-93.1475467
209,112x lafond av,"1120 Lafond Ave, St Paul, MN 55104, USA",44.96006129999999,-93.1477053
210,112x minnehaha av w,"1120 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628159,-93.147556
211,112x sherburne av,"1120 Sherburne Ave, St Paul, MN 55104, USA",44.95645250000001,-93.147577
212,112x thomas av,"1120 Thomas Ave W, St Paul, MN 55104, USA",44.9591674,-93.1476858
213,112x university av w,"1120 University Ave W, St Paul, MN 55104, USA",44.955469,-93.1471262
214,113x central av w,"1130 Central Ave W, St Paul, MN 55104, USA",44.9528245,-93.1479102
215,113x charles av,"1130 Charles Ave, St Paul, MN 55104, USA",44.9573409,-93.1479369
216,113x concordia av,"1130 Concordia Ave, St Paul, MN 55104, USA",44.9512124,-93.14814240000001
217,113x edmund av,"1130 Edmund Ave W, St Paul, MN 55104, USA",44.958251,-93.1479583
218,113x lafond av,"1130 Lafond Ave, St Paul, MN 55104, USA",44.9600526,-93.1480189
219,113x minnehaha av w,"1130 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628084,-93.1478305
220,113x sherburne av,"1130 Sherburne Ave, St Paul, MN 55104, USA",44.9564663,-93.1479494
221,113x thomas av,"1130 Thomas Ave W, St Paul, MN 55104, USA",44.9591678,-93.1480366
222,113x university av w,"1130 University Ave W, St Paul, MN 55104, USA",44.95543869999999,-93.1480737
223,114x blair av,"1140 Blair Ave, St Paul, MN 55104, USA",44.96098079999999,-93.1484149
224,114x charles av,"1140 Charles Ave, St Paul, MN 55104, USA",44.9573532,-93.1483417
225,114x edmund av,"1140 Edmund Ave W, St Paul, MN 55104, USA",44.9582482,-93.1483485
226,114x lafond av,"1140 Lafond Ave, St Paul, MN 55104, USA",44.960044,-93.1483325
227,114x larpenteur av w,"1140 Larpenteur Ave W, St Paul, MN 55113, USA",44.9916631,-93.1482075
228,114x sherburne av,"1140 Sherburne Ave, St Paul, MN 55104, USA",44.9564536,-93.1483218
229,114x thomas av,"1140 Thomas Ave W, St Paul, MN 55104, USA",44.9591684,-93.148461
230,114x university av w,"1140 University Ave W, St Paul, MN 55104, USA",44.9554363,-93.1487851
231,114x vanburen av,"1140 Van Buren Ave, St Paul, MN 55104, USA",44.9618568,-93.14839659999998
232,115x blair av,"1150 Blair Ave, St Paul, MN 55104, USA",44.9609643,-93.14865
233,115x burr st,"1150 Burr St N, St Paul, MN 55130, USA",44.9759624,-93.0794993
234,115x central av w,"1150 Central Ave W, St Paul, MN 55104, USA",44.9528217,-93.14867459999999
235,115x edmund av,"1150 Edmund Ave W, St Paul, MN 55104, USA",44.95823060000001,-93.1487032
236,115x lafond av,"1150 Lafond Ave, St Paul, MN 55104, USA",44.96005870000001,-93.1487463
237,115x marshall av,"1150 Marshall Ave, St Paul, MN 55104, USA",44.9483217,-93.1486942
238,115x minnehaha av w,"1150 W Minnehaha Ave, St Paul, MN 55104, USA",44.96278579999999,-93.1487127
239,115x sherburne av,"1150 Sherburne Ave, St Paul, MN 55104, USA",44.9564458,-93.1486942
240,115x thomas av,"1150 Thomas Ave W, St Paul, MN 55104, USA",44.959168700000006,-93.1487418
241,115x university av w,"1150 University Ave W, St Paul, MN 55104, USA",44.95562899999999,-93.1491013
242,115x vanburen av,"1150 Van Buren Ave, St Paul, MN 55104, USA",44.9618712,-93.1487892
243,115x wynne av,"1150 Wynne Ave, St Paul, MN 55108, USA",44.9754318,-93.1489083
244,116x blair av,"1160 Blair Ave, St Paul, MN 55104, USA",44.9611787,-93.1492153
245,116x charles av,"1160 Charles Ave, St Paul, MN 55104, USA",44.9573374,-93.14939129999999
246,116x edmund av,"1160 Edmund Ave W, St Paul, MN 55104, USA",44.9584589,-93.1492207
247,116x sherburne av,"1160 Sherburne Ave, St Paul, MN 55104, USA",44.95644520000001,-93.1493802
248,116x thomas av,"1160 Thomas Ave W, St Paul, MN 55104, USA",44.9593672,-93.149212
249,116x university av w,"1160 University Ave W, St Paul, MN 55104, USA",44.9556354,-93.1493677
250,116x vanburen av,"1160 Van Buren Ave, St Paul, MN 55104, USA",44.961891400000006,-93.1493813
251,117x beech st,"1170 Beech St, St Paul, MN 55106, USA",44.961923,-93.051276
252,117x blair av,"1170 Blair Ave, St Paul, MN 55104, USA",44.96095379999999,-93.149691
253,117x charles av,"1170 Charles Ave, St Paul, MN 55104, USA",44.9573287,-93.14970490000002
254,117x clarence st,"1170 Clarence St, St Paul, MN 55106, USA",44.976985,-93.0431121
255,117x edmund av,"1170 Edmund Ave W, St Paul, MN 55104, USA",44.9582504,-93.1497395
256,117x lafond av,"1170 Lafond Ave, St Paul, MN 55104, USA",44.96006129999999,-93.1496911
257,117x marshall av,"1170 Marshall Ave, St Paul, MN 55104, USA",44.94826519999999,-93.1497264
258,117x minnehaha av w,"1170 W Minnehaha Ave, St Paul, MN 55104, USA",44.962794,-93.1496772
259,117x sherburne av,"1170 Sherburne Ave, St Paul, MN 55104, USA",44.9564906,-93.1497134
260,117x thomas av,"1170 Thomas Ave W, St Paul, MN 55104, USA",44.9591708,-93.14975109999999
261,117x vanburen av,"1170 Van Buren Ave, St Paul, MN 55104, USA",44.96185000000001,-93.1497712
262,118x blair av,"1180 Blair Ave, St Paul, MN 55104, USA",44.96097460000001,-93.1500745
263,118x carroll av,"1180 Carroll Ave, St Paul, MN 55104, USA",44.9502682,-93.15187979999999
264,118x charles av,"1180 Charles Ave, St Paul, MN 55104, USA",44.9573532,-93.1501401
265,118x concordia av,"1180 Concordia Ave, St Paul, MN 55104, USA",44.95118170000001,-93.1495462
266,118x edmund av,"1180 Edmund Ave W, St Paul, MN 55104, USA",44.9582503,-93.1501032
267,118x lafond av,"1180 Lafond Ave, St Paul, MN 55104, USA",44.96003899999999,-93.1500741
268,118x minnehaha av w,"1180 W Minnehaha Ave, St Paul, MN 55104, USA",44.96278220000001,-93.1501085
269,118x sherburne av,"1180 Sherburne Ave, St Paul, MN 55104, USA",44.95645620000001,-93.15006629999999
270,118x thomas av,"1180 Thomas Ave W, St Paul, MN 55104, USA",44.9591703,-93.1500813
271,118x university av w,"1180 University Ave W, St Paul, MN 55104, USA",44.9556499,-93.1499782
272,119x blair av,"1190 Blair Ave, St Paul, MN 55104, USA",44.960951,-93.15045750000002
